Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
Metabolic regulation of cancer cell side population by glucose through activation of the Akt pathway,Metabolic regulation of cancer cell side population by glucose through activation of the Akt pathway,,80,100.00%,100.00%
Effective Elimination of Cancer Stem Cells by a Novel Drug Combination Strategy,Effective elimination of cancer stem cells by a novel drug combination strategy,F Wang,55,33.33%,33.33%
&#946;-phenylethyl isothiocyanate reverses platinum resistance by a GSH-dependent mechanism in cancer cells with epithelial-mesenchymal transition phenotype,β-phenylethyl isothiocyanate reverses platinum resistance by a GSH-dependent mechanism in cancer cells with epithelial-mesenchymal transition phenotype,,25,93.75%,93.75%
Effective killing of leukemia cells by the natural product OSW-1 through disruption of cellular calcium homeostasis,Effective killing of leukemia cells by the natural product OSW-1 through disruption of cellular calcium homeostasis,,24,100.00%,100.00%
Targeting cancer cell mitochondria as a therapeutic approach,Targeting cancer cell mitochondria as a therapeutic approach,,76,100.00%,100.00%
Interleukin-1&#946; promotes ovarian tumorigenesis through a p53/NF-&#954;B-mediated inflammatory response in stromal fibroblasts,Interleukin-1β promotes ovarian tumorigenesis through a p53/NF-κB-mediated inflammatory response in stromal fibroblasts,Z Xing,46,83.33%,83.33%
Resistance of chronic lymphocytic leukemia cells in apoptosis: key role of stromal cells in maintaining the redox potential of CLL cells,Resistance of chronic lymphocytic leukemia cells in apoptosis: key role of stromal cells in maintaining the redox potential of CLL cells,,1,100.00%,100.00%
A sequence variant in the phospholipase C epsilon C2 domain is associated with esophageal carcinoma and esophagitis,A sequence variant in the phospholipase C epsilon C2 domain is associated with esophageal carcinoma and esophagitis,,12,100.00%,100.00%
"Design, synthesis, and biological evaluation of truncated superstolide A.","Design, synthesis, and biological evaluation of truncated Superstolide A",L Chen,3,77.78%,77.78%
The combination of the novel glycolysis inhibitor 3-BrOP and rapamycin is effective against neuroblastoma,The combination of the novel glycolysis inhibitor 3-BrOP and rapamycin is effective against neuroblastoma,,18,100.00%,100.00%
K-RasG12V transformation leads to mitochondrial dysfunction and a metabolic switch from oxidative phosphorylation to glycolysis,K-rasG12V transformation leads to mitochondrial dysfunction and a metabolic switch from oxidative phosphorylation to glycolysis,W Lu,135,93.33%,93.33%
Stromal control of cystine metabolism promotes cancer cell survival in chronic lymphocytic leukaemia,Stromal control of cystine metabolism promotes cancer cell survival in chronic lymphocytic leukaemia,,146,100.00%,100.00%
Over-expression of GAPDH in human colorectal carcinoma as a preferred target of 3-bromopyruvate propyl ester.,Over-expression of GAPDH in human colorectal carcinoma as a preferred target of 3-bromopyruvate propyl ester,,47,93.33%,93.33%
Novel role of NOX in supporting aerobic glycolysis in cancer cells with mitochondrial dysfunction and as a potential target for cancer therapy,Novel role of NOX in supporting aerobic glycolysis in cancer cells with mitochondrial dysfunction and as a potential target for cancer therapy,W Lu F Wang,79,100.00%,100.00%
Antibody-induced nonapoptotic cell death in human lymphoma and leukemia cells is mediated through a novel reactive oxygen species-dependent pathway.,Antibody-induced nonapoptotic cell death in human lymphoma and leukemia cells is mediated through a novel reactive oxygen species-dependent pathway,,79,94.74%,94.74%
A new role for PHD in chemotherapy.,A New Role for PHD in Chemotherapy,,0,57.14%,57.14%
ZNF143 transcription factor mediates cell survival through upregulation of the GPX1 activity in the mitochondrial respiratory dysfunction.,ZNF143 transcription factor mediates cell survival through upregulation of the GPX1 activity in the mitochondrial respiratory dysfunction,W Lu Y Wang,14,94.12%,94.12%
"Cancer-stromal interactions: role in cell survival, metabolism, and drug sensitivity","Cancer-stromal interactions: role in cell survival, metabolism and drug sensitivity",,26,90.00%,90.00%
Targeting glycolysis in leukemia: A novel inhibitor 3-BrOP in combination with rapamycin,Targeting glycolysis in leukemia: a novel inhibitor 3-BrOP in combination with rapamycin,,32,91.67%,91.67%
Metabolic alterations in cancer cells and therapeutic implications,Metabolic alterations in cancer cells and therapeutic implications,N Hammoudi,33,100.00%,100.00%
Thioredoxin-like 2 regulates human cancer cell growth and metastasis via redox homeostasis and NF-&#954;B signaling,Thioredoxin-like 2 regulates human cancer cell growth and metastasis via redox homeostasis and NF-κB signaling,J Wang,83,93.33%,93.33%
Metabolic alterations in highly tumorigenic glioblastoma cells: preference for hypoxia and high dependency on glycolysis.,Metabolic Alterations in Highly Tumorigenic Glioblastoma Cells PREFERENCE FOR HYPOXIA AND HIGH DEPENDENCY ON GLYCOLYSIS,,98,13.33%,13.33%
Inhibition of mitochondrial respiration and rapid depletion of mitochondrial glutathione by &#946;-phenethyl isothiocyanate: mechanisms for anti-leukemia activity.,Inhibition of mitochondrial respiration and rapid depletion of mitochondrial glutathione by β-phenethyl isothiocyanate: mechanisms for anti-leukemia activity,,47,88.24%,88.24%
"The role of Skp2 in hematopoietic stem cell quiescence, pool size, and self-renewal.","The role of Skp2 in hematopoietic stem cell quiescence, pool size, and self-renewal",F Han CH Chan,28,92.31%,92.31%
Small mitochondria-targeting molecules as anti-cancer agents.,Small mitochondria-targeting molecules as anti-cancer agents,,90,83.33%,83.33%
Autophagy inhibition enhances vorinostat-induced apoptosis via ubiquitinated protein accumulation,Autophagy inhibition enhances vorinostat‐induced apoptosis via ubiquitinated protein accumulation,,151,88.89%,88.89%
Oxidative stress in NSC-741909-induced apoptosis of cancer cells,Oxidative stress in NSC-741909-induced apoptosis of cancer cells,,32,100.00%,100.00%
Hypoxia-regulated microRNA-210 modulates mitochondrial function and decreases ISCU and COX10 expression,Hypoxia-regulated microRNA-210 modulates mitochondrial function and decreases ISCU and COX10 expression,,238,100.00%,100.00%
Cetuximab enhances the effect of oxaliplatin on hypoxic gastric cancer cell lines,Cetuximab enhances the effect of oxaliplatin on hypoxic gastric cancer cell lines,,24,100.00%,100.00%
Preferential killing of cancer cells with mitochondrial dysfunction by natural compounds,Preferential killing of cancer cells with mitochondrial dysfunction by natural compounds,,58,100.00%,100.00%
Cancer metabolism: is glutamine sweeter than glucose?,Cancer metabolism: is glutamine sweeter than glucose?,W Lu,66,100.00%,100.00%
Thioredoxin-like 2 regulates human cancer cell growth and metastasis via redox homeostasis and NF-kB signaling,Thioredoxin-like 2 regulates human cancer cell growth and metastasis via redox homeostasis and NF-κB signaling,J Wang,83,93.33%,93.33%
lyolytic pathway as a target for tumor inhibition,Glycolytic pathway as a target for tumor inhibition,W Lu,3,87.50%,87.50%
Martinez-Valdez H. Vital function of PRELI and essential requirement of its LEA motif,Vital function of PRELI and essential requirement of its LEA motif,,14,84.62%,100.00%
Metabolic regulator betaKlotho interacts with fibroblast growth factor receptor 4 (FGFR4) to induce apoptosis and inhibit tumor cell proliferation,Metabolic regulator βklotho interacts with fibroblast growth factor receptor 4 (FGFR4) to induce apoptosis and inhibit tumor cell proliferation,W Lu R Xie,36,94.74%,94.74%
"Remote sensing of sediment re-suspension during Hurricane Frances in Apalachicola Bay, USA.","[CITATION][C] Remote sensing of sediment resuspension during Hurricane Frances in Apalachicola Bay, USA",,3,83.33%,76.92%
"Numerical Modeling of Dynamic Wave Force Acting on Escambia Bay Bridge Deck during Hurricane Ivan,",Numerical modeling of dynamic wave force acting on Escambia bay bridge deck during Hurricane Ivan,,49,40.00%,40.00%
Metabolic regulation of cancer cell side population by glucose through activation of the Akt pathway,Metabolic regulation of cancer cell side population by glucose through activation of the Akt pathway,,80,100.00%,100.00%
Effective Elimination of Cancer Stem Cells by a Novel Drug Combination Strategy,Effective elimination of cancer stem cells by a novel drug combination strategy,F Wang,55,33.33%,33.33%
&#946;-phenylethyl isothiocyanate reverses platinum resistance by a GSH-dependent mechanism in cancer cells with epithelial-mesenchymal transition phenotype,β-phenylethyl isothiocyanate reverses platinum resistance by a GSH-dependent mechanism in cancer cells with epithelial-mesenchymal transition phenotype,,25,93.75%,93.75%
Effective killing of leukemia cells by the natural product OSW-1 through disruption of cellular calcium homeostasis,Effective killing of leukemia cells by the natural product OSW-1 through disruption of cellular calcium homeostasis,,24,100.00%,100.00%
Targeting cancer cell mitochondria as a therapeutic approach,Targeting cancer cell mitochondria as a therapeutic approach,,76,100.00%,100.00%
Interleukin-1&#946; promotes ovarian tumorigenesis through a p53/NF-&#954;B-mediated inflammatory response in stromal fibroblasts,Interleukin-1β promotes ovarian tumorigenesis through a p53/NF-κB-mediated inflammatory response in stromal fibroblasts,Z Xing,46,83.33%,83.33%
Resistance of chronic lymphocytic leukemia cells in apoptosis: key role of stromal cells in maintaining the redox potential of CLL cells,Resistance of chronic lymphocytic leukemia cells in apoptosis: key role of stromal cells in maintaining the redox potential of CLL cells,,1,100.00%,100.00%
A sequence variant in the phospholipase C epsilon C2 domain is associated with esophageal carcinoma and esophagitis,A sequence variant in the phospholipase C epsilon C2 domain is associated with esophageal carcinoma and esophagitis,,12,100.00%,100.00%
"Design, synthesis, and biological evaluation of truncated superstolide A.","Design, synthesis, and biological evaluation of truncated Superstolide A",L Chen,3,77.78%,77.78%
The combination of the novel glycolysis inhibitor 3-BrOP and rapamycin is effective against neuroblastoma,The combination of the novel glycolysis inhibitor 3-BrOP and rapamycin is effective against neuroblastoma,,18,100.00%,100.00%
K-RasG12V transformation leads to mitochondrial dysfunction and a metabolic switch from oxidative phosphorylation to glycolysis,K-rasG12V transformation leads to mitochondrial dysfunction and a metabolic switch from oxidative phosphorylation to glycolysis,W Lu,135,93.33%,93.33%
Stromal control of cystine metabolism promotes cancer cell survival in chronic lymphocytic leukaemia,Stromal control of cystine metabolism promotes cancer cell survival in chronic lymphocytic leukaemia,,146,100.00%,100.00%
Over-expression of GAPDH in human colorectal carcinoma as a preferred target of 3-bromopyruvate propyl ester.,Over-expression of GAPDH in human colorectal carcinoma as a preferred target of 3-bromopyruvate propyl ester,,47,93.33%,93.33%
Novel role of NOX in supporting aerobic glycolysis in cancer cells with mitochondrial dysfunction and as a potential target for cancer therapy,Novel role of NOX in supporting aerobic glycolysis in cancer cells with mitochondrial dysfunction and as a potential target for cancer therapy,W Lu F Wang,79,100.00%,100.00%
Antibody-induced nonapoptotic cell death in human lymphoma and leukemia cells is mediated through a novel reactive oxygen species-dependent pathway.,Antibody-induced nonapoptotic cell death in human lymphoma and leukemia cells is mediated through a novel reactive oxygen species-dependent pathway,,79,94.74%,94.74%
A new role for PHD in chemotherapy.,A New Role for PHD in Chemotherapy,,0,57.14%,57.14%
ZNF143 transcription factor mediates cell survival through upregulation of the GPX1 activity in the mitochondrial respiratory dysfunction.,ZNF143 transcription factor mediates cell survival through upregulation of the GPX1 activity in the mitochondrial respiratory dysfunction,W Lu Y Wang,14,94.12%,94.12%
"Cancer-stromal interactions: role in cell survival, metabolism, and drug sensitivity","Cancer-stromal interactions: role in cell survival, metabolism and drug sensitivity",,26,90.00%,90.00%
