A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
Enhanced image quality in black-blood MRI using the improved motion-sensitized driven-equilibrium (iMSDE) sequence,Enhanced image quality in black‐blood MRI using the improved motion‐sensitized driven‐equilibrium (iMSDE) sequence,J Wang C Yuan,89,76.92%,76.92%
Longitudinal distribution of mechanical stresses in carotid plaques of symptomatic patients,Longitudinal distribution of mechanical stresses in carotid plaques of symptomatic patients,SA Thrysøe C Yuan,17,100.00%,100.00%
MRI in the early identification and classification of high-risk atherosclerotic carotid plaques,MRI in the early identification and classification of high-risk atherosclerotic carotid plaques,C Yuan,49,100.00%,100.00%
Localized measurement of atherosclerotic plaque inflammatory burden with dynamic contrast-enhanced MRI,Localized measurement of atherosclerotic plaque inflammatory burden with dynamic contrast–enhanced MRI,H Chen,20,90.91%,90.91%
3D critical plaque wall stress is a better predictor of carotid plaque rupture sites than flow shear stress: An in vivo MRI-based 3D FSI study,3D critical plaque wall stress is a better predictor of carotid plaque rupture sites than flow shear stress: an in vivo MRI-based 3D FSI study,Z Teng G Canton C Yuan,60,96.00%,96.00%
Sex differences in patients with asymptomatic carotid atherosclerotic plaque: In vivo 3.0-T magnetic resonance study,Sex differences in patients with asymptomatic carotid atherosclerotic plaque,H Ota C Yuan,30,53.33%,88.89%
Efficient flow suppressed MRI improves interscan reproducibility of carotid atherosclerosis plaque burden measurements,Efficient flow suppressed MRI improves interscan reproducibility of carotid atherosclerosis plaque burden measurements,J Wang,24,100.00%,100.00%
High resolution carotid black-blood 3T MR with parallel imaging and dedicated 4-channel surface coils,High resolution carotid black-blood 3T MR with parallel imaging and dedicated 4-channel surface coils,T Saam JG Raya,43,100.00%,100.00%
Cardiovascular magnetic resonance in carotid atherosclerotic disease,Cardiovascular magnetic resonance in carotid atherosclerotic disease,,25,100.00%,100.00%
Rationale and design of the carotid plaque in human for all evaluations with aggressive rosuvastatin therapy (CHALLENGER Trial) - Evaluation by magnetic resonance imaging,Rationale and Design of the Carotid Plaque in Human for All Evaluations With Aggressive Rosuvastatin Therapy (CHALLENGER Trial),,18,33.33%,44.44%
Comment on: Micro magnetic resonance angiography of the finger in systemic sclerosis: Reply,Comment on: Micro magnetic resonance angiography of the finger in systemic sclerosis,,0,84.62%,91.67%
Atherosclerotic plaque imaging by Carotid MRI,Atherosclerotic plaque imaging by carotid MRI,C Yuan,15,83.33%,83.33%
Patient-specific artery shrinkage and 3D zero-stress state in multi-component 3D FSI models for carotid atherosclerotic plaques based on in vivo MRI data,Patient-specific artery shrinkage and 3D zero-stress state in multi-component 3D FSI models for carotid atherosclerotic plaques based on in vivo MRI data,C Yuan G Canton,47,100.00%,100.00%
Contrast-enhanced MRI of carotid atherosclerosis: Dependence on contrast agent,Contrast‐enhanced MRI of carotid atherosclerosis: Dependence on contrast agent,C Yuan,29,88.89%,88.89%
Cardiac Magnetic Resonance Features of the Disruption-Prone and the Disrupted Carotid Plaque,Cardiac magnetic resonance features of the disruption-prone and the disrupted carotid plaque,H Chen,37,41.67%,41.67%
Direct quantitative comparison between cross-relaxation imaging and diffusion tensor imaging of the human brain at 3.0 T,Direct quantitative comparison between cross-relaxation imaging and diffusion tensor imaging of the human brain at 3.0 T,C Yuan,47,100.00%,100.00%
Local critical stress correlates better than global maximum stress with plaque morphological features linked to atherosclerotic plaque vulnerability: An in vivo multi-patient study,Local critical stress correlates better than global maximum stress with plaque morphological features linked to atherosclerotic plaque vulnerability: an in vivo …,Z Teng G Canton,56,82.61%,90.48%
Hemorrhage and large lipid-rich necrotic cores are independently associated with thin or ruptured fibrous caps: An in vivo 3T MRI study,Hemorrhage and large lipid-rich necrotic cores are independently associated with thin or ruptured fibrous caps,H Ota,51,66.67%,93.33%
The added value of longitudinal black-blood cardiovascular magnetic resonance angiography in the cross sectional identification of carotid atherosclerotic ulceration,The added value of longitudinal black-blood cardiovascular magnetic resonance angiography in the cross sectional identification of carotid atherosclerotic …,,22,89.47%,94.44%
Improvements in digital vasculature observed using micro magnetic resonance angiography after high-dose immunosuppression for severe systemic sclerosis,Improvements in digital vasculature observed using micro magnetic resonance angiography after high-dose immunosuppression for severe systemic sclerosis,J Wang,5,100.00%,100.00%
Sites of rupture in human atherosclerotic carotid plaques are associated with high structural stresses: An in Vivo MRI-based 3D fluid-structure interaction study,Sites of rupture in human atherosclerotic carotid plaques are associated with high structural stresses,Z Teng G Canton,146,59.09%,100.00%
Carotid magnetic resonance imaging - A window to study atherosclerosis and identify high-risk plaques,Visualization of fibrous cap thickness and rupture in human atherosclerotic carotid plaque in vivo with high-resolution magnetic resonance imaging,C Yuan,659,28.57%,21.05%
Improvements in carotid plaque imaging using a new eight-element phased array coil at 3T,Improvements in carotid plaque imaging using a new eight‐element phased array coil at 3T,,49,92.86%,92.86%
Arterial Remodeling in the Subclinical Carotid Artery Disease,Arterial remodeling in the subclinical carotid artery disease,C Yuan,70,37.50%,37.50%
Current techniques for MR imaging of atherosclerosis,Current techniques for MR imaging of atherosclerosis,J Wang,15,100.00%,100.00%
High shear stress influences plaque vulnerability,High shear stress influences plaque vulnerability,A Van Der Lugt,24,100.00%,100.00%
Meshless generalized finite difference method and human carotid atherosclerotic plaque progression simulation using multi-year MRI patient-tracking data,Meshless generalized finite difference method and human carotid atherosclerotic plaque progression simulation using multi-year MRI patient-tracking data,C Yuan,24,100.00%,100.00%
The solution of Bloch equations for flowing spins during a selective pulse using a finite difference method,The solution of Bloch equations for flowing spins during a selective pulse using a finite difference method,C Yuan DL Parker,41,100.00%,100.00%
Jointly Learning Visually Correlated Dictionaries for Large-Scale Visual Recognition Applications,Jointly learning visually correlated dictionaries for large-scale visual recognition applications,N Zhou J Fan,26,20.00%,20.00%
Learning group-based dictionaries for discriminative image representation,Learning group-based dictionaries for discriminative image representation,H Lei P Dong N Zhou J Fan,11,100.00%,100.00%
Cross-modal social image clustering and tag cleansing,Cross-modal social image clustering and tag cleansing,Y Shen J Fan,3,100.00%,100.00%
Image collection summarization via dictionary learning for sparse representation,Image collection summarization via dictionary learning for sparse representation,C Yang J Shen J Fan,43,100.00%,100.00%
Quantitative Characterization of Semantic Gaps for Learning Complexity Estimation and Inference Model Selection,Quantitative characterization of semantic gaps for learning complexity estimation and inference model selection,J Fan X He N Zhou,26,30.77%,30.77%
Structured Max-Margin Learning for Inter-Related Classifier Training and Multi-Label Image Annotation,Structured max-margin learning for inter-related classifier training and multilabel image annotation,J Fan Y Shen C Yang N Zhou,30,27.27%,27.27%
"Multimedia news exploration and retrieval by integrating keywords, relations and visual features","Multimedia news exploration and retrieval by integrating keywords, relations and visual features",J Fan Y Zhou,3,100.00%,100.00%
Leveraging Loosely-Tagged Images and Inter-Object Correlations for Tag Recommendation,Leveraging loosely-tagged images and inter-object correlations for tag recommendation,Y Shen J Fan,44,33.33%,33.33%
Stochastic Contour Approach for Automatic Image Segmentation,Stochastic contour approach for automatic image segmentation,Z Li J Fan,2,28.57%,28.57%
Incorporating Camera Metadata for Attended Region Detection and Consumer Photo Classification,Incorporating camera metadata for attended region detection and consumer photo classification,Z Li J Fan,5,27.27%,27.27%
An Interactive Approach for Filtering out Junk Images from Keyword-Based Google Search Results,An interactive approach for filtering out junk images from keyword-based Google search results,DA Keim,33,38.46%,38.46%
"JustClick: Personalized Image Recommendation via Exploratory Search from Large-Scale Flickr Images""",JustClick: Personalized image recommendation via exploratory search from large-scale Flickr images,J Fan DA Keim,64,45.45%,45.45%
Integrating Multi-Modal Content Analysis and Hyperbolic Visualization for Large-Scale News Videos Retrieval and Exploration,Integrating multi-modal content analysis and hyperbolic visualization for large-scale news video retrieval and exploration,J Fan S Satoh J Yang,12,28.57%,28.57%
Integrating Concept Ontology and Multi-Task Learning to Achieve More Effective Classifier Training for Multi-Level Image Annotation,Integrating concept ontology and multitask learning to achieve more effective classifier training for multilevel image annotation,J Fan,143,25.00%,25.00%
Mining Multi-Level Image Semantics via Hierarchical Classification,Mining multilevel image semantics via hierarchical classification,J Fan R Jain,99,28.57%,28.57%
"Incorporating Concept Ontology for Hierarchical Video Classification, Annotation and Visualization","Incorporating concept ontology for hierarchical video classification, annotation, and visualization",J Fan R Jain,33,30.00%,30.00%
Automatic Image Annotation by Incorporating Feature Hierarchy and Boosting to Scale up SVM Classifiers,Automatic image annotation by incorporating feature hierarchy and boosting to scale up SVM classifiers,J Fan X Xue R Jain,119,42.86%,42.86%
Statistical modeling and conceptualization of natural images,Statistical modeling and conceptualization of natural images,J Fan,91,100.00%,100.00%
